path,title,date,units,cjk_chars,en_words,raw_body_len,images,is_translation,categories,tags,action,reason
content/post/常用颜色的RGB分布.md,常用颜色的RGB分布,2015-05-10,155,147,8,460,0,False,计算机视觉,学习笔记,delete,短且非主赛道，建议下线
content/post/道路识别demo.md,道路识别demo,2015-04-15,177,168,9,4584,0,False,计算机视觉,计算机视觉,delete,短且非主赛道，建议下线
content/post/latex中large的作用域问题.md,latex中large的作用域问题,2017-01-06,231,228,3,1037,3,False,论文写作,LaTeX,delete,短且非主赛道，建议下线
content/post/一个简单的输入输出算法题.md,一个简单的输入输出算法题,2015-04-11,251,245,6,911,0,False,算法OJ,算法,delete,短且非主赛道，建议下线
content/post/Iplimage versus Mat.md,Iplimage versus Mat,2015-04-15,267,248,19,452,0,False,计算机视觉,计算机视觉,delete,短且非主赛道，建议下线
content/post/剑指offer学习读书笔记--二维数组中的查找.md,剑指offer学习读书笔记--二维数组中的查找,2015-11-14,298,298,0,748,0,False,算法OJ,算法,delete,短且非主赛道，建议下线
content/post/the sum of two fixed value.md,the sum of two fixed value,2016-10-26,350,0,350,2314,0,False,算法OJ,算法,merge,中薄笔记，并入系列后下线单页
content/post/回调函数.md,回调函数,2015-04-12,447,364,83,1855,0,False,c++,学习笔记,merge,中薄笔记，并入系列后下线单页
content/post/PCA算法和实例.md,PCA算法和实例,2015-06-20,558,537,21,1213,8,False,机器学习,"算法, 计算机视觉",merge,中薄笔记，并入系列后下线单页
content/post/sftp没有关闭session导致服务器sshd进程未关闭.md,sftp没有关闭session导致服务器sshd进程未关闭,2016-07-28,121,114,7,1363,1,False,java开发,"后端, 工具",expand,短文但主题相关，扩写到 800+ 有效字
content/post/css盒子模型设置的缩略形式.md,css盒子模型设置的缩略形式,2015-10-24,138,111,27,1012,0,False,web前端,前端,expand,短文但主题相关，扩写到 800+ 有效字
content/post/github命令大全.md,github命令大全,2015-10-25,154,139,15,2416,0,False,web前端,"Git, 开发工具",expand,短文但主题相关，扩写到 800+ 有效字
content/post/nodejs爬虫编码问题.md,nodejs爬虫编码问题,2016-04-16,177,169,8,645,1,False,web前端,"JavaScript, 后端",expand,短文但主题相关，扩写到 800+ 有效字
content/Logshsh技巧之处理不同的output.md,Logstash技巧之处理不同的output,2020-05-18,187,173,14,355,1,False,工具,工具,expand,短文但主题相关，扩写到 800+ 有效字
content/lucene中query的实现.md,lucene 中 query 的实现,2018-10-09,190,153,37,640,0,False,java,"后端, 学习笔记",expand,短文但主题相关，扩写到 800+ 有效字
content/post/在pythonanywhere部署你的第一个应用.md,在pythonanywhere部署你的第一个应用,2015-10-21,201,176,25,937,0,False,web前端,Python,expand,短文但主题相关，扩写到 800+ 有效字
content/post/installsheild2011打包程序internal build error 6213.md,installsheild2011打包程序internal build error 6213,2015-12-20,210,192,18,477,2,True,winform开发,学习笔记,expand,短文但主题相关，扩写到 800+ 有效字
content/服务端请求伪造（SSRF）.md,服务端请求伪造（SSRF）攻击,2019-02-22,222,210,12,291,0,False,安全,"安全, Web安全, 漏洞分析",expand,短文但主题相关，扩写到 800+ 有效字
content/post/判断数组中元素多个属性是否重复.md,判断数组中元素多个属性是否重复,2016-07-01,224,209,15,1083,0,False,web前端,"JavaScript, 算法",expand,短文但主题相关，扩写到 800+ 有效字
content/post/combox系列问题集.md,combox系列问题集,2015-04-14,227,216,11,1709,0,False,开发工具,学习笔记,expand,短文但主题相关，扩写到 800+ 有效字
content/post/css样式表的引入方式.md,css样式表的引入方式,2015-10-06,232,217,15,392,0,False,web前端,前端,expand,短文但主题相关，扩写到 800+ 有效字
content/post/只要三步，你就可以在github上发布网站了.md,只要三步，你就可以在github上发布网站了,2016-12-09,241,224,17,511,0,False,IT新闻,"Git, 开发工具, 博客",expand,短文但主题相关，扩写到 800+ 有效字
content/post/WWDC2015.md,WWDC2015,2015-06-09,244,223,21,485,0,False,IT新闻,数码,expand,短文但主题相关，扩写到 800+ 有效字
content/post/sqlite操作.md,sqlite操作,2015-04-15,249,223,26,509,0,False,数据库,后端,expand,短文但主题相关，扩写到 800+ 有效字
content/post/剑指offer学习--实现单例模式.md,剑指offer学习--实现单例模式,2015-11-13,261,253,8,1157,0,False,winform开发,算法,expand,短文但主题相关，扩写到 800+ 有效字
content/post/初识NuGet.md,初识NuGet,2015-04-12,301,228,73,722,0,False,开发工具,"开发工具, 学习笔记",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/goland.md,goland-2022.01版本最新实用功能,2022-05-01,308,277,31,1391,5,False,开发工具,"Go, 开发工具",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/markdown语法规则.md,markdown语法规则,2015-10-06,316,306,10,565,1,False,开发工具,工具,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/github-rsa.md,GitHub 更新了 RSA SSH host key,2023-03-24,318,273,45,2215,0,False,security,"安全, Git, 开源",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/前端面试基础题目.md,前端面试基础题目,2015-10-30,319,284,35,760,0,False,web前端,前端,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/实现combobox模糊查询的时候报错 InvalidArgument=“0”的值对于“index”无效.md,实现combobox模糊查询的时候报错 InvalidArgument=“0”的值对于“index”无效,2015-05-02,322,317,5,2620,0,False,winform开发,学习笔记,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/Django学习——开发你的第一个Django应用2.md,Django学习——开发你的第一个Django应用2,2015-10-11,356,347,9,1301,0,False,web前端,"Python, 后端",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/opencv视频流的读取和处理.md,opencv视频流的读取和处理,2015-04-12,363,337,26,1835,0,False,计算机视觉,"安全, 计算机视觉",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/check-cve.md,cve check,2019-07-04,374,334,40,2730,1,False,安全开发,"安全, 漏洞分析, Python",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/bashed-hack-the-box.md,Bashed -- hack the box,2019-04-04,378,0,378,4518,10,False,htb,"安全, 渗透测试, HTB",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/indexDB的概念.md,indexDB的概念,2015-10-07,397,377,20,550,0,False,web前端,学习笔记,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/一个神奇却很简单的css特效.md,一个神奇却很简单的css特效,2015-10-07,397,392,5,830,2,False,web前端,前端,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/Cronos-hack the box.md,Cronos -- hack the box,2019-03-15,398,0,398,3899,11,False,htb,"安全, 渗透测试, HTB",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/利用python生成可视化报告.md,利用 python 生成可视化报告,2018-08-16,401,383,18,2558,0,False,python,"Python, 数据可视化",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/javascript中无法将string转化为json对象.md,javascript中无法将string转化为json对象,2016-07-01,402,382,20,568,0,False,web前端,JavaScript,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/如何实现一个完美的页码跳转.md,如何做一个完美的页码跳转,2018-03-28,419,408,11,1899,6,False,算法,"Go, 算法",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/将Medium中的博客导出成markdown.md,将Medium中的博客导出成markdown,2017-09-23,429,409,20,1163,2,False,开发工具,"安全, 安全开发, 前端, 工程化",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/referer.md,JavaScript能否修改Referer请求头,2021-03-09,431,394,37,1154,1,False,安全,"安全, Web安全, JavaScript",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/Ext.js性能优化漫谈.md,Ext.js性能优化漫谈,2017-02-22,434,408,26,664,0,False,web前端,前端,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/moongoose对象无法新增删除属性.md,moongoose对象无法新增删除属性,2016-06-30,434,397,37,815,0,False,web前端,JavaScript,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/后渗透的文件传输.md,后渗透的文件传输,2019-05-16,443,427,16,670,0,False,"安全,渗透测试,文件传输","安全, 渗透测试",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/export-to-markdown.md,大佬，您这是在借鉴嘛,2024-06-27,463,453,10,1321,8,False,前端开发,"前端, 工程化, 工具",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/道路模型--linear-parabolic model.md,道路模型--linear-parabolic model,2015-05-18,478,435,43,1182,7,False,计算机视觉,计算机视觉,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/剑指offer--字符串.md,剑指offer--字符串,2015-11-14,480,453,27,1102,0,False,winform开发,算法,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/全栈开发教学学习系列1——前言.md,全栈开发教学学习系列1——前言,2015-10-07,488,474,14,674,1,False,web前端,学习笔记,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/IIS短文件漏洞及修复建议.md,IIS短文件漏洞及修复建议,2019-01-14,495,411,84,1274,1,False,安全,"安全, Web安全, 漏洞分析",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/利用tesseract-ocr进行验证码识别.md,利用tesseract-ocr进行验证码识别,2016-04-26,495,464,31,950,2,False,计算机视觉,学习笔记,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/CVE-2025-55188.md,CVE-2025-55188：7-Zip 任意文件写入漏洞,2025-08-11,523,503,20,1739,1,False,安全,"安全, 漏洞分析",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/黑产代码解密--利用canvas加载代码.md,黑产代码解密--利用canvas加载代码,2018-08-12,539,520,19,4480,1,False,web security,"安全, 前端",expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/ROT13加密和解密.md,ROT13加密和解密,2015-04-11,545,439,106,1927,0,True,算法OJ,算法,expand,中薄，补步骤/踩坑/结论到 800–1200+
content/post/剑指offer学习--初级c++面试题.md,剑指offer学习--初级c++面试题,2015-10-21,681,659,22,1121,0,False,cpp,算法,keep_or_archive,长度尚可，非主线可归档
content/post/道路识别.md,道路识别,2015-04-11,733,733,0,808,0,False,计算机视觉,计算机视觉,keep_or_archive,长度尚可，非主线可归档
content/post/Latex--入门系列二.md,Latex--入门系列二,2016-12-06,761,728,33,1262,0,False,论文写作,LaTeX,keep_or_archive,长度尚可，非主线可归档
content/post/mac-mini.md,mac mini，真香？,2025-02-24,1121,1071,50,1999,2,False,数码,数码,keep_or_archive,长文但偏其他主题
content/post/Latex--入门系列一.md,Latex--入门系列一,2016-12-03,1145,1095,50,1939,2,False,论文写作,LaTeX,keep_or_archive,长文但偏其他主题
content/post/独立成分分析（Independent Component Analysis）.md,独立成分分析（Independent Component Analysis）,2015-04-19,1154,1093,61,2415,10,False,机器学习,计算机视觉,keep_or_archive,长文但偏其他主题
content/post/highway.md,电车的高速之行,2021-09-06,1244,1224,20,1624,1,False,汽车,汽车,keep_or_archive,长文但偏其他主题
content/post/au9999_gold_trend_article.md,从1243元跌回935元：近一年黄金到底变弱了吗？,2026-06-20,1330,1315,15,3711,7,False,投资,"黄金, Au99.99, 投资, 数据分析",keep_or_archive,长文但偏其他主题
content/post/imac.md,imac 2020，真香？,2020-09-19,1344,1303,41,1911,3,False,数码,数码,keep_or_archive,长文但偏其他主题
content/post/CHEVP算法（CannyHough Estimation of Vanishing Points).md,CHEVP算法（CannyHough Estimation of Vanishing Points),2015-04-18,1364,1324,40,2714,14,False,计算机视觉,"算法, 计算机视觉, 学习笔记",keep_or_archive,长文但偏其他主题
content/post/Latex--入门系列三.md,Latex--入门系列三,2016-12-12,1384,1355,29,5675,13,False,论文写作,LaTeX,keep_or_archive,长文但偏其他主题
content/post/xiaopeng.md,技术宅的第一辆车--小鹏P7,2021-05-01,1401,1387,14,2215,6,False,汽车,汽车,keep_or_archive,长文但偏其他主题
content/post/奇异值分解基础(SVD).md,奇异值分解基础(SVD),2015-06-27,1459,1436,23,2555,14,False,机器学习,计算机视觉,keep_or_archive,长文但偏其他主题
content/post/骑行.md,菜腿的骑行通勤,2023-08-12,1474,1473,1,1882,3,False,"生活,骑行,rc100,迪卡侬",生活,keep_or_archive,长文但偏其他主题
content/post/颈椎.md,颈椎康复指南--桌面篇,2020-11-15,1520,1497,23,2350,6,False,生活,"生活, 数码",keep_or_archive,长文但偏其他主题
content/post/shanghai.md,停车被蹭的那些小事,2022-07-20,1790,1776,14,2095,0,False,生活,"生活, 汽车",keep_or_archive,长文但偏其他主题
content/post/xp.md,提车二月记--小鹏P7,2021-06-25,1951,1921,30,2799,4,False,汽车,汽车,keep_or_archive,长文但偏其他主题
content/post/xp-problem.md,小鹏 P7 之殤,2022-09-25,2100,2091,9,2915,7,False,汽车,汽车,keep_or_archive,长文但偏其他主题
content/post/行车记录仪.md,行车记录仪对比 - 盯盯拍mini5 vs 海康威视C8,2023-02-12,2217,2196,21,2795,2,False,数码产品,汽车,keep_or_archive,长文但偏其他主题
content/post/演化计算会议.md,演化计算会议,2016-01-08,2631,2161,470,7342,1,False,论文写作,计算机视觉,keep_or_archive,长文但偏其他主题
content/post/计算机视觉领域的一些牛人博客，超有实力的研究机构等的网站链接.md,计算机视觉领域的一些牛人博客，超有实力的研究机构等的网站链接,2015-04-11,4776,2993,1783,15108,0,False,计算机视觉,"计算机视觉, 博客",keep_or_archive,长文但偏其他主题
content/post/cpe.md,CPE 获取指南,2022-12-02,602,572,30,1071,2,False,认证,"安全, 安全工程, 认证考试",keep_polish,接近可用：加目录结构、示例与内链
content/post/Nibbles-hack-the-box.md,Nibbles - Hack the box,2019-03-17,615,0,615,9339,17,False,htb,"安全, 渗透测试, HTB",keep_polish,接近可用：加目录结构、示例与内链
content/post/Kibana任意代码执行漏洞.md,Kibana 任意代码执行漏洞,2019-10-17,621,577,44,1200,2,False,安全,"安全, Web安全, 漏洞分析",keep_polish,接近可用：加目录结构、示例与内链
content/post/第一个chrome extension.md,第一个chrome extension,2017-03-04,621,569,52,1863,0,False,web前端,前端,keep_polish,接近可用：加目录结构、示例与内链
content/post/微软Visual Studio Code基本特征.md,微软Visual Studio Code基本特征,2015-05-02,649,615,34,1201,3,False,IT新闻,开发工具,keep_polish,接近可用：加目录结构、示例与内链
content/laoniao.md,疯狂的键盘：老鸟成长史,2024-03-29,655,641,14,782,0,False,技术,"安全, 工程化, 学习笔记",keep_polish,接近可用：加目录结构、示例与内链
content/post/从后台看python--为什么说python是慢的.md,从后台看python--为什么说python是慢的,2015-12-08,660,637,23,1112,1,False,python,Python,keep_polish,接近可用：加目录结构、示例与内链
content/post/gobuster1.md,gobuster源码阅读--入口篇,2022-04-21,670,637,33,2450,0,False,源码阅读,"安全, Web安全, Go, Gobuster",keep_polish,接近可用：加目录结构、示例与内链
content/post/js的事件流理解.md,js的事件流理解,2016-03-05,675,636,39,1610,0,False,web前端,JavaScript,keep_polish,接近可用：加目录结构、示例与内链
content/全栈工程师的成长.md,全栈工程师的成长,2020-08-16,711,711,0,836,0,False,开发,"安全, 工程化, 总结",keep_polish,接近可用：加目录结构、示例与内链
content/post/javascript的继承模式.md,javascript的继承模式,2015-10-24,730,724,6,4184,2,False,web前端,JavaScript,keep_polish,接近可用：加目录结构、示例与内链
content/post/基于ELK进行邮箱访问日志的分析.md,基于ELK进行邮箱访问日志的分析,2017-11-16,730,690,40,1619,0,False,安全,"安全, Web安全, 漏洞分析, 翻译",keep_polish,接近可用：加目录结构、示例与内链
content/post/Help-hack the box.md,Help -- hack the box,2019-04-22,735,0,735,8713,9,False,htb,"安全, 渗透测试, HTB, Python",keep_polish,接近可用：加目录结构、示例与内链
content/post/Holiday-hack the box.md,Holiday -- hack the box,2019-05-20,738,0,738,9479,14,False,htb,"安全, Web安全, 漏洞分析, HTB",keep_polish,接近可用：加目录结构、示例与内链
content/post/模拟.net post请求属性.md,模拟.net post请求属性,2016-04-25,747,714,33,1142,2,False,web前端,后端,keep_polish,接近可用：加目录结构、示例与内链
content/post/如何写一个burp插件.md,如何写一个 burp 插件,2019-08-31,750,697,53,2260,2,False,安全开发,"安全, Web安全, 安全开发, Burp",keep_polish,接近可用：加目录结构、示例与内链
content/post/gobuster3.md,gobuster源码阅读--终篇,2022-04-22,753,727,26,2152,1,False,源码阅读,"安全, Web安全, Go, Gobuster",keep_polish,接近可用：加目录结构、示例与内链
content/post/drive.md,Google Drive 的信息检索,2023-08-28,769,686,83,5658,1,False,,学习笔记,keep_polish,接近可用：加目录结构、示例与内链
content/post/stored-xss.md,富文本场景下的 XSS,2021-08-30,770,744,26,4350,0,False,安全,"安全, Web安全, Go, JavaScript",keep_polish,接近可用：加目录结构、示例与内链
content/post/go-vuln-management.md,Go 的漏洞管理,2022-09-07,800,737,63,2290,1,True,应用安全,"安全, 漏洞分析, 安全工程, Go",keep_polish,接近可用：加目录结构、示例与内链
content/post/偶遇的XSS漏洞.md,偶遇 XSS 漏洞,2019-08-22,813,792,21,3194,1,False,安全,"安全, Web安全, 漏洞分析",keep_polish,接近可用：加目录结构、示例与内链
content/post/gproxy.md,真香系列之 Golang 升级,2019-09-23,817,758,59,2337,1,False,golang,"安全, 安全开发, Go",keep_polish,接近可用：加目录结构、示例与内链
content/post/从一到面试题谈谈setTimeout和setInterval.md,从一道面试题谈谈 setTimeout 和 setInterval,2018-04-21,849,829,20,2171,1,False,"""前端""",JavaScript,keep_polish,接近可用：加目录结构、示例与内链
content/post/service worker之cache实践--sw-precache.md,service worker之cache实践--sw-precache,2017-04-22,850,779,71,2407,0,False,"""前端""",前端,keep_polish,接近可用：加目录结构、示例与内链
content/post/寻找你的第一个漏洞.md,寻找你的第一个漏洞,2020-08-26,850,806,44,1244,0,False,安全,"安全, Web安全, 漏洞分析, 渗透测试",keep_polish,接近可用：加目录结构、示例与内链
content/post/Mongoose中document和object的区别.md,Mongoose中document和object的区别,2017-09-17,871,858,13,7660,0,False,"""前端""","JavaScript, 后端",keep_polish,接近可用：加目录结构、示例与内链
content/post/haystack.md,Haystack - hack the box,2019-11-30,896,0,896,10238,7,False,靶机,"安全, 渗透测试, HTB",keep_polish,接近可用：加目录结构、示例与内链
content/post/让你的SQL盲注快起来.md,让你的SQL盲注快起来,2020-03-30,897,862,35,2674,6,False,安全,"安全, Web安全",keep_polish,接近可用：加目录结构、示例与内链
content/post/github-bug-bounty.md,为什么 2022 年是漏洞赏金奖破纪录的一年,2023-01-16,930,895,35,4342,1,True,漏洞赏金,"安全, 漏洞分析, 工程化, 开源",keep_attr,长译文：保留+出处+补原创点评
content/post/火眼.md,火眼红队工具遭窃,2020-12-10,956,929,27,1793,0,True,网络安全,"安全, 工具",keep_attr,长译文：保留+出处+补原创点评
content/post/隐写术-深入研究PDF混淆漏洞.md,隐写术-深入研究 PDF 混淆漏洞,2019-01-28,987,856,131,4305,10,True,安全,"安全, 漏洞分析, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/Bootstrap真的总是好的吗.md,Bootstrap真的总是好的吗,2016-08-15,1073,1029,44,1517,0,True,web前端,前端,keep_attr,长译文：保留+出处+补原创点评
content/post/通过利用immutability的能力编写更安全和更整洁的代码.md,通过利用immutability的能力编写更安全和更整洁的代码,2017-05-21,1075,1015,60,3862,2,True,web前端,"安全, JavaScript, 前端, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/你可能不知道谷歌浏览器开发工具的其他用处.md,你可能不知道谷歌浏览器开发工具的其他用处,2016-10-03,1097,965,132,2492,0,True,web前端,"JavaScript, 前端, 工具",keep_attr,长译文：保留+出处+补原创点评
content/post/2019年针对API安全的4点建议.md,2019 年针对 API 安全的 4 点建议,2019-02-02,1266,1193,73,3578,1,True,"安全,翻译",安全,keep_attr,长译文：保留+出处+补原创点评
content/post/消灭star大作战-Front-end-tutorial.md,消灭 star 大作战--Front-end-tutorial,2018-04-07,1368,1205,163,3383,1,True,"""前端""",学习笔记,keep_attr,长译文：保留+出处+补原创点评
content/post/什么是服务端伪造（SSRF）.md,什么是服务端伪造（SSRF）,2017-08-06,1442,1358,84,3973,2,True,安全,"安全, Web安全, 漏洞分析",keep_attr,长译文：保留+出处+补原创点评
content/post/JavaScript是如何工作的：引擎，运行时间以及调用栈的概述.md,JavaScript是如何工作的：引擎，运行时间以及调用栈的概述,2017-09-13,1611,1539,72,3977,9,True,web前端,"JavaScript, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/聊聊答题应用题库的建立.md,聊聊答题应用题库的建立,2018-02-23,1630,1537,93,3960,4,True,计算机视觉,"Python, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/service worker介绍.md,service worker介绍,2017-05-02,1991,1767,224,7863,0,True,web前端,前端,keep_attr,长译文：保留+出处+补原创点评
content/post/Chrome最新在野零日漏洞.md,Chrome 最新零日漏洞,2019-11-10,1992,1815,177,4862,9,True,安全,"安全, Web安全, 漏洞分析, 前端",keep_attr,长译文：保留+出处+补原创点评
"content/post/基于Vue JS, Webpack 以及Material Design的渐进式web应用 [Part 1].md","基于Vue JS, Webpack 以及Material Design的渐进式web应用 [Part 1]",2017-05-11,2055,1828,227,15468,12,True,web前端,"安全, Web安全, JavaScript, 前端",keep_attr,长译文：保留+出处+补原创点评
content/post/XSS.md,GMail XSS 漏洞分析,2019-11-24,2148,1980,168,9585,8,True,安全,"安全, Web安全, 漏洞分析",keep_attr,长译文：保留+出处+补原创点评
content/post/ms-codeql.md,微软开源对于 Solorigate 活动捕获的开源 CodeQL 查询,2021-03-07,2150,2093,57,4959,2,True,安全,"安全, 代码审计, 开源, CodeQL",keep_attr,长译文：保留+出处+补原创点评
content/post/javascript中的对象字面量为啥这么酷.md,javascript中的对象字面量为啥这么酷,2016-07-26,2201,1934,267,8917,2,True,web前端,JavaScript,keep_attr,长译文：保留+出处+补原创点评
content/post/burp-ai.md,不到一分钟拿到可用 PoC：Julen Garrido Estévez 测试 Burp AI,2026-01-17,2234,2104,130,8094,14,True,安全,"安全, Web安全, AI, Burp",keep_attr,长译文：保留+出处+补原创点评
content/post/sast.md,SAST 测试中要测量的三个参数,2022-03-28,2443,2379,64,3532,0,True,web安全,"安全, Web安全, 代码审计",keep_attr,长译文：保留+出处+补原创点评
content/post/出去就餐并且理解Express.js的基本知识.md,出去就餐并且理解Express.js的基本知识,2017-11-12,2524,2420,104,5389,15,True,web前端,"JavaScript, 后端",keep_attr,长译文：保留+出处+补原创点评
content/post/git-undo.md,如何使用 Git 撤消（几乎）任何操作,2023-11-12,2546,2380,166,7603,6,True,"git,GitHub,开发","Git, 开发工具",keep_attr,长译文：保留+出处+补原创点评
content/post/cookie-tossing.md,通过 Cookie Tossing 劫持 OAUTH 流程,2025-02-06,2563,2327,236,6282,1,True,安全,"安全, Web安全",keep_attr,长译文：保留+出处+补原创点评
content/post/Pornhub Web 开发者访谈.md,Pornhub Web 开发者访谈,2019-10-13,2668,2560,108,4095,0,True,web开发,"前端, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/nodejs回调大坑.md,nodejs回调大坑,2016-04-27,2988,2775,213,9219,1,True,web前端,"JavaScript, 后端",keep_attr,长译文：保留+出处+补原创点评
content/post/OSWE.md,一键 Shell，我的 OSWE 之旅,2020-09-06,3683,3501,182,5861,2,True,安全,"安全, Web安全, 代码审计, 认证考试",keep_attr,长译文：保留+出处+补原创点评
content/post/circleci-incident.md,CircleCI 20230104 安全事件报告,2023-01-14,3699,3554,145,6590,0,True,网络安全,"安全, 安全运营, 工程化, 数据可视化",keep_attr,长译文：保留+出处+补原创点评
content/post/nilayay.md,NilAway：实用的 Go Nil Panic 检测方式,2024-11-30,3952,3615,337,11097,9,True,开发,"安全, 代码审计, Go",keep_attr,长译文：保留+出处+补原创点评
content/post/Twitter Lite以及大规模的高性能React渐进式网络应用.md,Twitter Lite以及大规模的高性能React渐进式网络应用,2017-04-16,4240,4065,175,12569,25,True,web前端,"JavaScript, 前端, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/Elasticsearch团队开发章程.md,Elasticsearch 团队开发章程,2018-06-16,5903,5806,97,8594,1,True,团队,"工程化, 翻译",keep_attr,长译文：保留+出处+补原创点评
content/post/programer.md,菜鸟程序员成长史 --记 Github 1000+ contributions,2017-05-19,6918,6647,271,12927,6,True,web前端,"JavaScript, 前端, 工程化, 开源",keep_attr,长译文：保留+出处+补原创点评
content/post/hr.md,关于招人的那点小事,2022-09-17,912,891,21,1102,0,False,HR,生活,keep,主线长文，优先保留
content/post/gorm.md,AI 审代码，靠谱吗？,2025-08-22,915,887,28,3328,8,False,安全,"安全, 代码审计, Go, AI",keep,主线长文，优先保留
